x,y
-0.36273476,-0.03003287
-0.19788622,-0.01479966
-0.06533481,-0.01564985
 0.11592730,-0.00934947
 0.11391990,-0.00486681
 0.50858274,-0.22398832
 0.14191212, 0.01903032
 0.08757014, 0.01844983
-0.02845310, 0.16468906
-0.25294777,-0.22607334
-0.41438994,-0.01898872
-0.19405114,-0.05264623
 0.03169398,-0.04303378
 0.22841291,-0.02847918
 0.36053013,-0.09157883
 0.48534316,-0.21290459
-0.22018978, 0.01377891
 0.08622223, 0.13259871
-0.13156124, 0.13147828
-0.15094812, 0.05016439
-0.44661432, 0.01416537
-0.13404586, 0.05908271
 0.00939150, 0.07582225
 0.21762946,-0.01350732
 0.32761063,-0.13456273
 0.43579748,-0.19377680
 0.03091400, 0.25347662
-0.16303073,-0.14246252
-0.15591603,-0.05205692
-0.05198702, 0.06267556
-0.48998377,-0.04747742
-0.30749286, 0.06144199
-0.00163602, 0.16012436
 0.25334376, 0.16895607
 0.45024078, 0.06865127
 0.62252026,-0.03661794
-0.04554008, 0.12584583
 0.12019546, 0.46578870
-0.39154300,-0.02601544
-0.42147136,-0.42735151
